,Unnamed: 0,방송일자,채널명,프로그램시작시간,프로그램종료시간,프로그램명,방송회차명,프로그램장르소분류명,출연진내용,장르1,장르2,가구평균시청률(%),게시글수,댓글수,동영상조회(K)
117,117,20210904,JTBC,22,234313,인간실격,1회,미니시리즈,"전도연,류준열,박병은",휴먼,,1.25,2165.333333333333,10564.33333333333,958.3333333333334
118,118,20200217,JTBC,21,224143,안녕드라큘라,1회,미니시리즈,"서현,이지현,이주빈",휴먼,,1.0,540.0,3714.0,208.0
119,119,20200525,JTBC,21,224135,야식남녀,1회,미니시리즈,"정일우,강지영,이학주",로맨스,,0.9,609.0,1566.0,260.3333333333333
120,120,20201117,JTBC,21,224011,라이브온,1회,미니시리즈,"황민현,정다빈,노종현",청춘,,0.9,1388.75,13532.75,2307.75
121,121,20210430,tvN,22,235220,다크홀,1회,미니시리즈,"김옥빈,이준혁,임원희",판타지,미스터리,0.9,559.25,2941.5,200.0
122,122,20211115,JTBC,22,2004,IDOL,3회,미니시리즈,"안희연,곽시양,김민규",청춘,로맨스,0.6,334.0,2312.0,309.3333333333333
123,123,20201116,MBC,22,231400,제발그남자만나지마요,1회,미니시리즈,"송하윤,윤보미,공민정",로맨스,코미디,0.366666667,238.5,972.5,98.0
124,124,20200817,MBC,21,220049,연애는귀찮지만외로운건싫어,1회,미니시리즈,"지현우,김소은,박건일",로맨스,코미디,0.233333333,268.75,1251.75,130.0
125,125,20200102,OCN,22,235816,손THEGUEST,1회,미니시리즈,"김동욱,김재욱,정은채",판타지,미스터리,4.1,,,
126,126,20200116,OCN,22,240218,트랩,1회,미니시리즈,"이서진,성동일,임화영",액션,추리,4.0,,,
127,127,20200831,SBS,22,223519,브람스를좋아하세요,1회,미니시리즈,"박은빈,김민재,김성철",로맨스,,5.6,17372.33333333333,121103.3333333333,6559.666666666667
128,128,20210401,MBC,21,214953,오주인님,4회,미니시리즈,"이민기,나나,강민혁",로맨스,코미디,1.6,687.3333333333334,2575.666666666667,331.0
129,129,20210703,tvN,22,655,보이스시즌4,6회,미니시리즈,"송승헌,이하나,이규형",추리,수사,3.8,,,
130,130,20210805,tvN,21,223210,슬기로운의사생활시즌2,7회,미니시리즈,"조정석,유연석,정경호",의학,로맨스,14.1,8414.8,57241.2,11166.4
