주차,프로그램명,채널,요일,게시글(건수),댓글(건수),동영상조회(건수),뉴스(건수),동영상(건수),게시글(점유율%),댓글(점유율%),동영상조회(점유율%),뉴스(점유율%),동영상(점유율%),가구시청자수,2049시청자수,가구시청률(%),2049시청률(%)
202042,펜트하우스,SBS,월화,174,573,"133,493",253,7,0.2,0.1,0.1,0.7,0.1,0,0,0,0
202042,산후조리원,tvN,월화,45,250,"29,567",108,4,0.1,0,0,0.3,0.1,0,0,0,0
202042,KBS드라마스페셜2020,KBS2,수목,11,17,"1,893",64,2,0,0,0,0.2,0,0,0,0,0
202043,도도솔솔라라솔,KBS2,수목,"1,475","8,394","590,489",320,81,2,1.4,0.7,1,1.2,"464,246","292,995",2.3,1.3
202043,좀비탐정,KBS2,월화,256,729,"53,447",359,47,0.3,0.1,0.1,1.1,0.7,"473,221","248,760",2.3,1.1
202043,브람스를좋아하세요,SBS,월화,"9,930","68,861","3,325,714",995,84,13.6,11.6,4.2,3,1.3,"795,423","533,942",3.9,2.4
202043,트웬티트웬티,JTBC,토일,315,"3,698","1,015,363",175,8,0.4,0.6,1.3,0.5,0.1,"74,047","34,538",0.4,0.2
202043,18어게인,JTBC,월화,"2,535","14,783","1,412,522",710,92,3.5,2.5,1.8,2.1,1.4,"621,515","463,463",3.1,2.1
202043,청춘기록,tvN,월화,"7,061","30,557","2,305,501",942,115,9.7,5.1,2.9,2.8,1.7,"1,386,354","918,229",6.8,4.1
202043,사생활,JTBC,수목,933,"3,675","240,912",414,49,1.3,0.6,0.3,1.2,0.7,"358,274","279,256",1.8,1.2
202043,오삼광빌라,KBS2,토일,897,"2,009","796,036",447,68,1.2,0.3,1,1.3,1,"4,237,797","1,502,358",20.8,6.7
202043,나의위험한아내,MBN,월화,135,277,"49,560",303,70,0.2,0,0.1,0.9,1.1,"399,623","111,838",2,0.5
202043,구미호뎐,tvN,수목,"3,069","19,146","4,582,274",703,144,4.2,3.2,5.8,2.1,2.2,"1,003,429","1,013,626",4.9,4.5
202043,스타트업,tvN,토일,"5,692","27,011","1,604,234",913,129,7.8,4.6,2,2.7,2,"777,253","642,955",3.8,2.9
202043,써치,OCN,토일,"1,137","5,244","605,138",280,104,1.6,0.9,0.8,0.8,1.6,"525,070","405,841",2.6,1.8
202043,나를사랑한스파이,MBC,수목,698,"1,602","312,157","1,282",84,1,0.3,0.4,3.8,1.3,"690,445","513,721",3.4,2.3
202043,카이로스,MBC,월화,292,884,"9,327",458,14,0.4,0.1,0,1.4,0.2,0,0,0,0
202043,펜트하우스,SBS,월화,345,"1,292","160,624",805,32,0.5,0.2,0.2,2.4,0.5,0,0,0,0
202043,산후조리원,tvN,월화,64,238,"30,896",104,8,0.1,0,0,0.3,0.1,0,0,0,0
202043,KBS드라마스페셜2020,KBS2,수목,24,77,"1,259",43,2,0,0,0,0.1,0,0,0,0,0
202044,도도솔솔라라솔,KBS2,수목,"1,197","8,474","544,928",359,66,1.8,1.4,0.6,1,1,"531,684","319,515",2.6,1.4
202044,좀비탐정,KBS2,월화,270,"1,071","89,426",457,41,0.4,0.2,0.1,1.2,0.6,"442,765","272,955",2.2,1.2
202044,트웬티트웬티,JTBC,토일,80,"1,956","456,302",40,2,0.1,0.3,0.5,0.1,0,"48,219","21,922",0.2,0.1
202044,18어게인,JTBC,월화,"1,541","19,772","2,034,672",451,81,2.3,3.3,2.4,1.2,1.3,"565,769","402,690",2.8,1.8
202044,청춘기록,tvN,월화,"8,596","32,521","2,719,474","1,625",104,12.6,5.4,3.2,4.4,1.6,"1,454,922","941,508",7.1,4.2
202044,사생활,JTBC,수목,581,"2,624","121,863",379,52,0.8,0.4,0.1,1,0.8,"324,356","214,230",1.6,1
202044,오삼광빌라,KBS2,토일,878,"2,139","897,927",609,71,1.3,0.4,1.1,1.6,1.1,"4,457,599","1,480,268",21.9,6.6
202044,나의위험한아내,MBN,월화,96,238,"84,250",292,73,0.1,0,0.1,0.8,1.1,"354,105","115,897",1.7,0.5
202044,구미호뎐,tvN,수목,"3,040","21,364","6,630,960",863,122,4.4,3.6,7.9,2.3,1.9,"943,967","816,106",4.6,3.6
202044,스타트업,tvN,토일,"4,687","33,693","2,101,379","1,005",138,6.9,5.6,2.5,2.7,2.1,"819,911","669,009",4,3
202044,써치,OCN,토일,694,"3,886","551,525",260,102,1,0.6,0.7,0.7,1.6,"651,446","492,909",3.2,2.2
202044,나를사랑한스파이,MBC,수목,405,"1,221","126,645",409,71,0.6,0.2,0.2,1.1,1.1,"563,814","310,418",2.8,1.4
202044,카이로스,MBC,월화,"2,097","6,749","664,978","1,167",80,3.1,1.1,0.8,3.1,1.2,"652,335","322,495",3.2,1.4
202044,펜트하우스,SBS,월화,"5,360","20,395","2,306,342","1,737",100,7.8,3.4,2.8,4.7,1.5,"1,310,744","766,406",6.4,3.4
202044,산후조리원,tvN,월화,156,590,"85,427",680,27,0.2,0.1,0.1,1.8,0.4,0,0,0,0
202044,KBS드라마스페셜2020,KBS2,수목,32,44,"6,575",81,2,0,0,0,0.2,0,0,0,0,0
202044,제발그남자만나지마요,MBCevery1,월화,28,31,"3,085",257,2,0,0,0,0.7,0,0,0,0,0
202044,라이브온,JTBC,월화,123,"1,341","168,177",175,2,0.2,0.2,0.2,0.5,0,0,0,0,0
202044,복수해라,TVCHOSUN,토일,11,18,"1,478",85,3,0,0,0,0.2,0,0,0,0,0
202045,도도솔솔라라솔,KBS2,수목,"1,505","7,847","291,482",432,63,2.6,1.6,0.4,1.1,1,"413,379","220,740",2,1
202045,트웬티트웬티,JTBC,토일,35,85,162,77,0,0.1,0,0,0.2,0,"84,383","39,198",0.4,0.2
202045,18어게인,JTBC,월화,"1,220","17,123","2,849,440",594,88,2.1,3.4,3.5,1.5,1.4,"606,607","456,699",3,2
202045,사생활,JTBC,수목,527,"3,310","411,696",403,42,0.9,0.7,0.5,1,0.7,"331,339","177,816",1.6,0.8
202045,오삼광빌라,KBS2,토일,"1,318","2,453","1,245,979",614,66,2.3,0.5,1.5,1.5,1.1,"4,350,319","1,505,897",21.4,6.7
202045,나의위험한아내,MBN,월화,94,224,"58,040",332,68,0.2,0,0.1,0.8,1.1,"337,916","113,987",1.7,0.5
202045,구미호뎐,tvN,수목,"3,173","24,478","8,508,400","1,053",146,5.6,4.9,10.5,2.6,2.3,"915,320","830,543",4.5,3.7
202045,스타트업,tvN,토일,"5,379","43,293","3,050,176","1,105",153,9.4,8.7,3.7,2.8,2.5,"735,354","587,926",3.6,2.6
202045,써치,OCN,토일,740,"3,173","453,890",251,94,1.3,0.6,0.6,0.6,1.5,"656,130","501,149",3.2,2.2
