프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구시청자수(K),개인시청자수(K),남성시청자수(K),여성시청자수(K),10대시청자수(K),20대시청자수(K),30대시청자수(K),40대시청자수(K),50대시청자수(K),TVVOD시청자수(K),PC실시간(K),PCVOD(K),Mobile실시간(K),MobileVOD(K)
편의점샛별이,2020.06.19,SBS,금,"3,507","14,608","2,054","1,214",86,"1,282","1,991",998,993,153,113,193,572,500,0.2,"4,253","7,265","5,942","15,931"
우리사랑했을까,2020.07.08,JTBC,수목,"3,466","17,749","2,488","1,262",200,330,515,201,315,30,43,59,115,130,0.4,92,"1,331","2,020","13,259"
앨리스,2020.08.28,SBS,금,"2,696","10,806","1,269","3,418",126,352,580,264,316,21,90,49,148,120,0.2,81,25,"2,099","1,720"
모범형사,2020.07.06,JTBC,월화,"2,095","4,983","1,404","2,393",235,"1,120","1,714",807,908,102,133,152,443,504,0.3,"2,803","5,474","9,342","28,359"
트레인,2020.07.11,OCN,토일,"1,913","9,087",213,764,262,296,404,195,209,14,16,43,152,86,0.3,-,-,-,-
그놈이그놈이다,2020.07.06,KBS2,월화,"1,750","7,756","1,057","2,361",213,601,785,306,480,26,44,81,125,195,0,"2,765","3,238","4,355","11,841"
우아한친구들,2020.07.10,JTBC,금,"1,403","2,748","2,250","1,870",261,667,914,375,539,34,81,71,207,302,0.3,"2,462","1,657","4,404","12,714"
브람스를좋아하세요,2020.08.31,SBS,월화,"1,251","5,356",608,"1,829",68,-,-,-,-,-,-,-,-,-,-,-,-,-,-
청춘기록,2020.09.07,tvN,월화,"1,239","11,253",223,936,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-
출사표,2020.07.01,KBS2,수목,987,"3,775",330,"1,228",170,505,687,321,365,28,48,51,148,206,0.1,"2,478","5,085","2,956","4,633"
미씽그들이있었다,2020.08.29,OCN,토일,897,"2,379",365,"1,142",132,491,768,373,394,30,61,119,238,174,0.3,-,-,-,-
도도솔솔라라솔,2020.10.07,KBS2,수목,854,"5,131",94,"1,361",14,-,-,-,-,-,-,-,-,-,-,-,-,-,-
내가가장예뻤을때,2020.08.19,MBC,수목,819,"2,995","1,001","1,439",158,550,780,305,475,22,68,104,143,211,0.1,78,79,445,958
트웬티트웬티,2020.09.06,JTBC,토일,724,"8,579","2,104",62,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
