프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구시청률(%),개인시청률(%),남성시청률(%),여성시청률(%),10대시청률(%),20대시청률(%),30대시청률(%),40대시청률(%),50대시청률(%),TVVOD시청자수(K),PC실시간(K),PCVOD(K),Mobile실시간(K),MobileVOD(K)
홍천기,2021.08.30,SBS,월화,"6,556","30,419","7,632","3,255",215,8,4.9,4.3,5.5,2.8,2.2,2.8,7.7,8.1,0.9,814,"11,925","8,077","30,234"
원더우먼,2021.09.17,SBS,금,"4,435","18,750","8,328","3,153",178,9.3,5.9,5.3,6.5,3.1,3.4,2.9,7.1,10.9,0.7,751,"2,421","9,158","27,888"
인간실격,2021.09.04,JTBC,토일,"4,198","17,501","1,265","3,463",290,1.6,1.1,0.9,1.2,0.4,0.6,0.9,1.4,1.8,0.2,334,883,"2,996","6,998"
유미의세포들,2021.09.17,tvN,금,"3,987","22,604","1,641","2,247",80,2.4,1.7,1.4,2.1,1.2,1.3,2.2,3.1,1.9,-,639,"2,416","2,529","10,592"
하이클래스,2021.09.06,tvN,월화,"3,118","6,975","6,616","2,854",427,2.8,1.8,1.4,2.2,0.7,0.9,1.2,2.6,3.2,0.2,983,"4,029","6,438","17,638"
오케이광자매,2021.03.13,KBS2,토일,"1,919","7,548","6,297","1,147",163,26,15.4,13.1,17.7,6.6,6.5,7.7,12.9,21.2,0.4,298,942,"10,404","11,513"
경찰수업,2021.08.09,KBS2,월화,"1,602","5,704","1,027","1,761",175,5.7,3.4,2.9,3.8,1.6,2,1.7,3.5,5.8,0.3,"1,901","5,214","8,209","21,160"
홈타운,2021.09.22,tvN,수목,"1,061","2,544",354,"1,717",183,2.3,1.6,1.3,1.8,1.1,0.9,1.1,2.8,2.6,0.2,696,605,"1,646","1,547"
달리와감자탕,2021.09.22,KBS2,수목,"1,042","3,789",841,"2,269",126,3.8,2.3,1.9,2.7,1,0.8,1.3,2.7,3.9,0.2,936,873,"3,784","3,046"
신사와아가씨,2021.09.25,KBS2,토일,"1,017","10,299",907,"2,293",84,20.6,12.2,10.4,13.9,3.7,5.1,6.4,9.1,17.1,0.1,742,728,"2,403","1,024"
연모,2021.10.11,KBS2,월화,410,"2,007",50,442,5,0,0,0,0,0,0,0,0,0,-,-,-,-,-
더로드1의비극,2021.08.04,tvN,수목,358,562,458,"1,102",170,1.8,1.1,0.9,1.2,0.4,0.4,0.4,1.4,2.6,0.2,222,505,"2,405","4,605"
지리산,2021.10.23,tvN,토일,213,630,0,400,2,0,0,0,0,0,0,0,0,0,-,-,-,-,-
너를닮은사람,2021.10.13,JTBC,수목,121,469,206,461,7,0,0,0,0,0,0,0,0,0,-,-,-,-,-
하트가빛나는순간,2021.09.28,EBS1,월화,51,483,36,189,1,0.2,0.1,0.1,0.1,0,0,0,0.4,0.1,-,-,-,-,158
이벤트를확인하세요,2021.08.14,MBC,토일,48,266,20,82,31,0.9,0.6,0.5,0.6,0.1,0.2,0.8,0.8,0.5,0,-,"1,055",-,50
KBS드라마스페셜2021,2021.10.22,KBS2,금,14,77,4,46,2,0,0,0,0,0,0,0,0,0,-,-,-,20,"2,037"
갯마을차차차,2021.08.28,tvN,토일,"13,504","92,146","20,126","1,428",358,9.2,6.6,5.6,7.6,5.9,4.3,5.5,9.4,11.2,3.4,"6,971","26,328","25,957","111,902"
지리산,2021.10.23,tvN,토일,"9,642","44,462","2,322","3,572",231,8,5.6,4.8,6.4,3.7,3.2,4.2,9.1,9.2,0.6,254,"1,524","4,924","6,364"
유미의세포들,2021.09.17,tvN,금,"6,908","63,702","9,647","1,604",168,2,1.5,1.1,1.9,1.2,1.3,1.7,2.2,2.1,-,450,"3,464","13,638","45,080"
연모,2021.10.11,KBS2,월화,"6,572","24,518","2,886","2,803",205,6.3,3.5,2.9,4.2,1.3,1.3,2,2.9,5.3,1.9,"1,460","10,084","5,496","42,076"
검은태양,2021.09.17,MBC,금,"6,289","23,875","6,332","2,883",226,2.2,1.3,1.3,1.3,0.9,0.2,0.9,2,1.8,2.7,"4,899","14,015","14,067","41,128"
원더우먼,2021.09.17,SBS,금,"5,562","30,944","26,799","3,430",331,11.7,7.6,6.7,8.5,4.8,4.2,4.4,9.3,13.3,2.3,"6,937","21,242","25,900","70,991"
홍천기,2021.08.30,SBS,월화,"4,492","28,027","10,502","3,580",302,7.8,4.9,4.2,5.5,2.6,2.6,2.7,7,8.7,1.6,403,"6,385","9,260","26,080"
신사와아가씨,2021.09.25,KBS2,토일,"3,045","15,134","7,462","3,171",316,22.2,12.8,10.9,14.8,5.5,5.4,6,9.5,17.5,1.1,"2,240","8,784","15,704","55,912"
너를닮은사람,2021.10.13,JTBC,수목,"2,542","7,229","3,643","3,068",224,1.7,1.2,0.9,1.5,0.8,0.8,0.7,1.8,2.1,0.9,"1,648","2,884","2,872","13,514"
하이클래스,2021.09.06,tvN,월화,"1,748","4,583","6,820","1,232",366,3.6,2.1,1.6,2.7,1,0.9,1.3,2.7,4.5,0.2,"1,878","4,873","7,840","21,448"
인간실격,2021.09.04,JTBC,토일,"1,622","9,004","1,335","1,427",271,0.9,0.6,0.5,0.7,0.3,0.5,0.3,0.8,1,0.1,527,"4,021","1,029","5,698"
달리와감자탕,2021.09.22,KBS2,수목,"1,495","8,855","2,589","1,744",221,4.5,2.5,2,2.9,1,1,1.2,2.6,4.5,0.5,-,"2,560","6,159","15,847"
지금헤어지는중입니다,2021.11.12,SBS,금,924,"4,850",643,822,15,0,0,0,0,0,0,0,0,0,-,-,-,-,-
홈타운,2021.09.22,tvN,수목,861,"1,543",484,407,320,1.4,0.9,0.8,1,0.5,0.5,0.8,1.4,1.4,0.1,431,274,"1,747","4,353"
옷소매붉은끝동,2021.11.12,MBC,금,838,"3,790",90,474,10,0,0,0,0,0,0,0,0,0,-,-,-,-,-
구경이,2021.10.30,JTBC,토일,685,"2,214",246,"2,364",61,1.8,1.2,1.1,1.3,0.6,0.7,1.2,1.4,2.3,0.4,-,-,404,755
뫼비우스:검은태양,2021.10.29,MBC,금,447,"1,317",279,809,36,3.1,1.8,1.9,1.8,0.8,0.8,1.8,2.5,3.4,0.1,29,57,375,479
경찰수업,2021.08.09,KBS2,월화,433,"1,501",387,858,56,5.7,3.2,2.6,3.7,1.2,1.8,1.6,2.6,5.1,0.1,261,826,"1,046","6,359"
해피니스,2021.11.05,tvN,금,380,"1,581",43,611,15,0,0,0,0,0,0,0,0,0,-,-,-,-,-
멜랑꼴리아,2021.11.10,tvN,수목,336,"1,599",33,679,8,0,0,0,0,0,0,0,0,0,-,-,-,-,-
너의밤이되어줄게,2021.11.07,SBS,토일,290,"1,029",55,454,8,0,0,0,0,0,0,0,0,0,-,-,-,-,-
KBS드라마스페셜2021,2021.10.22,KBS2,금,279,837,87,920,49,0,0,0,0,0,0,0,0,0,-,-,-,-,-
키마이라,2021.10.30,OCN,토일,244,497,32,702,81,1.1,0.7,0.7,0.6,0.2,0.4,0.4,1,1.3,0.1,-,-,-,-
어사와조이,2021.11.08,tvN,월화,171,894,133,313,16,0,0,0,0,0,0,0,0,0,-,-,-,-,-
크라임퍼즐,2021.11.01,SKY,월화,123,698,654,"1,063",21,0,0,0,0,0,0,0,0,0,-,-,-,-,-
학교2021,2021.11.24,KBS2,수목,54,192,20,249,2,0,0,0,0,0,0,0,0,0,-,-,-,-,-
하트가빛나는순간,2021.09.28,EBS1,월화,38,"6,662","1,776",38,0,0,0,0,0,0,0,0,0,0,-,17,294,136,"1,110"
IDOL,2021.11.08,JTBC,월화,35,778,37,252,6,0,0,0,0,0,0,0,0,0,-,-,-,-,-
옷소매붉은끝동,2021.11.12,MBC,금,"11,536","54,556","6,790","2,876",295,6,3.7,3.4,4,2.1,1.8,2,4.4,5.8,1.2,441,"5,718","16,678","28,073"
지금헤어지는중입니다,2021.11.12,SBS,금,"10,216","39,892","10,665","4,424",261,5.8,3.5,2.8,4.2,2.3,1.3,2.9,4.6,4.9,0.8,"1,044","5,108","11,238","24,406"
지리산,2021.10.23,tvN,토일,"9,264","50,168","3,539","3,194",434,6.5,4.6,4,5.3,3.2,2.8,3.3,7.2,7.9,0.6,"3,050","8,753","9,381","17,728"
연모,2021.10.11,KBS2,월화,"7,771","41,544","11,279","3,038",273,7.5,4.3,3.5,5.2,1.5,1.9,2.3,3.7,7.6,1.9,"2,357","15,109","11,721","54,885"
해피니스,2021.11.05,tvN,금,"6,052","23,195","4,502","2,420",419,3,2.2,1.9,2.5,2.3,1.5,1.3,3.7,3.7,0.9,"1,331","5,546","6,254","20,280"
신사와아가씨,2021.09.25,KBS2,토일,"3,962","25,895","12,913","2,883",267,25.1,14.8,12.4,17.1,7.2,6.4,6.7,11.4,19.5,1.1,"1,201","6,162","14,454","44,032"
멜랑꼴리아,2021.11.10,tvN,수목,"3,300","8,475","2,882","2,492",268,1.9,1.3,1.2,1.3,1,0.5,0.9,2,2,0.1,"1,120",557,"3,977","27,589"
너를닮은사람,2021.10.13,JTBC,수목,"2,870","11,400","6,269","2,015",289,1.6,1,0.7,1.2,0.3,0.6,0.5,1.1,1.8,1.4,454,"1,433","4,530","23,467"
구경이,2021.10.30,JTBC,토일,"2,323","7,916",495,"2,360",197,1.5,1,0.9,1.1,0.7,0.6,0.6,1.7,1.3,0.5,"2,264","11,052","4,518","22,155"
어사와조이,2021.11.08,tvN,월화,"2,260","8,337","2,691","2,743",410,3.2,2,1.8,2.1,1.1,1,1.1,2.6,3.7,0.8,"3,710","29,145","6,473","24,921"
너의밤이되어줄게,2021.11.07,SBS,토일,"1,636","9,213",287,"1,748",101,2,1.2,1.2,1.2,0.7,0.8,1,1.2,1.8,0.1,534,291,456,"1,024"
태종이방원,2021.12.11,KBS1,토일,"1,211","3,471",8,610,3,0,0,0,0,0,0,0,0,0,-,-,-,-,-
원더우먼,2021.09.17,SBS,금,"1,134","6,961","5,254",815,73,14.5,9.5,8.4,10.6,6.4,4.8,5.1,12.9,16.9,0.4,"2,710","17,016","6,014","18,563"
학교2021,2021.11.24,KBS2,수목,941,"4,678",308,"2,326",82,2.5,1.5,1.3,1.6,0.8,0.4,0.7,2.3,2.1,0,-,10,99,157
설강화:SNOWDROP,2021.12.18,JTBC,토일,871,"3,300",177,241,5,0,0,0,0,0,0,0,0,0,-,-,-,-,-
달리와감자탕,2021.09.22,KBS2,수목,718,"3,771","1,401","1,047",110,4.4,2.4,2,2.7,0.9,0.9,1,2.3,4.2,0.3,-,"6,257","1,464","11,666"
키마이라,2021.10.30,OCN,토일,673,"1,146",129,904,266,1.2,0.7,0.7,0.7,0.3,0.4,0.5,0.8,1.6,0.3,-,-,-,-
IDOL,2021.11.08,JTBC,월화,664,"4,017",562,"1,585",340,0.5,0.3,0.3,0.4,0.4,0.3,0.2,0.4,0.5,0.1,503,"3,403",601,"2,417"
그해우리는,2021.12.06,SBS,월화,589,"2,298",459,814,28,0,0,0,0,0,0,0,0,0,-,-,-,-,-
크라임퍼즐,2021.11.01,SKY,월화,571,"1,331",488,775,26,0.3,0.2,0.2,0.2,0.1,0.1,0.2,0.4,0.3,-,-,-,-,-
쇼윈도:여왕의집,2021.11.29,채널A,월화,543,"1,326",177,"1,816",65,1.2,0.7,0.5,0.9,0.2,0.3,0.5,0.6,1.4,0,259,252,114,53
KBS드라마스페셜2021,2021.10.22,KBS2,금,348,"2,845",116,749,109,1.1,0.6,0.5,0.7,0.2,0.3,0.4,0.8,0.8,-,9,94,238,91
하이클래스,2021.09.06,tvN,월화,336,652,575,501,54,4.3,2.4,1.8,3,0.7,1,1.6,3,5.1,0,-,22,882,"3,476"
불가살,2021.12.18,tvN,토일,320,437,35,230,7,0,0,0,0,0,0,0,0,0,-,-,-,-,-
공작도시,2021.12.08,JTBC,수목,193,481,97,446,7,0,0,0,0,0,0,0,0,0,-,-,-,-,-
배드앤크레이지,2021.12.17,tvN,금,120,277,4,452,4,0,0,0,0,0,0,0,0,0,-,-,-,-,-
스폰서,방송예정,iHQ,월화,94,216,1,719,4,0,0,0,0,0,0,0,0,0,-,-,-,-,-
