,드라마배우,브랜드평판지수
1,한지민,"8,632,700"
2,김태리,"8,194,744"
3,유이,"7,842,385"
4,정인선,"7,498,336"
5,이병헌,"7,230,055"
6,김동욱,"6,985,161"
7,나혜미,"6,602,981"
8,은우,"6,026,655"
9,도경수,"5,461,534"
10,소지섭,"5,434,985"
