,드라마배우,브랜드평판지수
1,장나라,"14,353,513"
2,이종석,"13,292,451"
3,송승헌,"12,634,962"
4,하지원,"12,004,824"
5,서현진,"11,292,633"
6,정유미,"11,290,459"
7,양세종,"10,842.083"
8,유지태,"10,728,730"
9,고아라,"10,192,418"
10,한예슬,"9,656,794"
