,드라마배우,브랜드평판지수
1,박보영,"5,859,953"
2,박형식,"5,108,435"
3,장희진,"4,783,157"
4,이보영,"3,015,296"
5,김영철,"2,471,189"
6,이상윤,"2,383,430"
7,최강희,"2,300,141"
8,고아성,"1,924,597"
9,류수영,"1,911,244"
10,이영애,"1,682,971"
