,드라마배우,브랜드평판지수
1,이영애,"3,922,324"
2,신민아,"3,376,176"
3,남상미,"2,340,288"
4,지성,"2,304,176"
5,남궁민,"2,141,096"
6,윤균상,"1,842,316"
7,박형식,"1,800,916"
8,송승헌,"1,694,484"
9,이하나,"1,672,032"
10,박서준,"1,663,568"
