,드라마배우,브랜드평판지수
1,박서준,"24,097,237"
2,벡먼원,"18,161,817"
3,김태리,"12,964,955"
4,차은우,"8,300,742"
5,이병헌,"8,096,942"
6,임수향,"6,741,177"
7,이동욱,"6,735,513"
8,조승우,"6,257,384"
9,김민정,"6,117,039"
10,김정현,"5,947,517"

