,드라마배우,브랜드평판지수
1,신세경,"8,597,394"
2,신혜선,"8,127,203"
3,고준희,"5,929,410"
4,김래원,"5,802,310"
5,채수빈,"5,648,072"
6,서지혜,"4,827,183"
7,유승호,"4,521,886"
8,이승기,"4,397,556"
9,박시후,"4,357,376,"
10,백진희,"4,325,939"
