,드라마배우,브랜드평판지수
1,맥보검,"14,837,092"
2,송혜교,"13,334,953"
3,현빈,"8,110,227"
4,이설,"8,106,959"
5,한고은,"7,997,611"
6,유이,"7,967,364"
7,김유정,"7,513,980"
8,이민정,"7,385,777"
9,조보아,"6,344,954"
10,박신혜,"6,338,237"
