,드라마배우,브랜드평판지수
1,정해인,"11,094,905"
2,손예진,"8,957,819"
3,장소연,"4,520,668"
4,장동건,"4,497,894"
5,박형식,"4.330,323"
6,정유진,"4.120,323"
7,주민경,"3,732.352"
8,정인선,"3,580,575"
9,왕빛나,"3,179,265"
10,한가인,"2.922.398"
