,드라마배우,브랜드평판지수
1,박해진,"4,243,438"
2,지창욱,"4,094,731"
3,박성웅."4,076,568"
4,유승호,"3,356,048"
5,김소현,"3,226,111"
6,남지현,"3,100,309"
7,김민정,"2,631,353"
8,유아인,"2,481,357"
9,채정안,"2,478,676"
10,채수빈,"2,433,825"
