,드라마배우,브랜드평판지수
1,신혜선,"11,090,275"
2,양세종,"10,530,701"
3,서현진,"10,230,800"
4,유지태,"9,858,061"
5,조정석,"8,428,453"
6,김재욱,"8,232,340"
7,박시후,"7,873,315"
8,고아라,"7,798,867"
9,강소라,"7,721,116"
10,진구,"7,469,535"
