,드라마배우,브랜드평판지수
1,김남주,"6.336,101"
2,이승기,"6.241,.647"
3,김선아,"4,495.070"
4,감우성,"4,.436,730"
5,박진희,"4,405,498"
6,오연서,"3,916,285"
7,신혜선,3.812.488
8,신소율,"3,795,684"
9,김명민,"3,726.317"
10,윤두준,"3,547,535"
