,드라마배우,브랜드평판지수
1,서현진,"14,925,692"
2,양세종,"13,077,224"
3,하지원,"10,843,117"
4,김남길,"10,783,584"
5,강경준,"9,966,009"
6,배수지,"9,503,511"
7,이종석,"9,404,633"
8,신혜선,"7,318,222"
9,서예지,"7,291,367"
10,박시후,"6,992,535"
