,드라마배우,브랜드평판지수
1,박보영,"6,090,891"
2,박형식,"4,034,210"
3,이동건,"2,782,739"
4,지성,"2,317,905"
5,남궁민,"2,099,055"
6,남상미,"2,068,269"
7,장혁,"2,038,406"
8,신민아,"1,932,114"
9,이하나,"1,876,026"
10,이영애,"1,813,107"
