,드라마배우,브랜드평판지수
1,신혜선,"8,183,381"
2,이승기,"7,113,556"
3,백진희,"6,703,934"
4,이보영,"6,577,596"
5,정유미,"6,262,210"
6,고현정,"5,474,343"
7,신세경,"5,442,819"
8,진구,"5,406,656"
9,고준희,"5,298,569"
10,정진,"5,209,485"
