,드라마배우,브랜드평판지수
1,김태리,"8,811,309"
2,신혜선,"6,834,107"
3,한지민,"6,263,602"
4,이병헌,"6,262,765"
5,김민정,"6,130,907"
6,차은우,"6,008,505"
7,이유리,"5,957,255"
8,임수향,"5,848,318"
9,조승우,"5,722,017"
10,알렉스,"5,438,163"
