,드라마배우,브랜드평판지수
1,지창욱,"11,243,884"
2,김지원,"7,829,923"
3,남지현,"6,712,912"
4,오연서,"6,076,408"
5,박서준,"5,948,494"
6,여진구,"5,334,436"
7,유승호,"5,013,401"
8,엘,"4,176,000"
9,김소현,"4,035,714"
10,김희선,"3,885,482"
