,드라마배우,브랜드평판지수
1,성동일,"10,201,457"
2,고아라,"9,196,822"
3,박민영,"8,140,627"
4,박서준,"7,222,798"
5,이성경,"5,276,456"
6,이준기,"5,063,104"
7,정려원,"5,002,698"
8,이혜영,"4,992,438"
9,서강준,"4,959,779"
10,이상윤,"4,856,800"
